"tradingdate","close","open","high","low","volumn","pctchange"
2013-05-22 00:00:00.000,502.23,503.23,504.68,501.44,66.88,0.41
2013-05-21 00:00:00.000,500.18,496.09,502.6,495.95,88.74,1.61
2013-05-20 00:00:00.000,492.27,487.71,492.96,485.42,48.67,0.96
2013-05-17 00:00:00.000,487.6,489.99,491.85,487.6,50.05,-0.56
2013-05-16 00:00:00.000,490.34,486.0,491.44,485.28,49.81,0.9
2013-05-15 00:00:00.000,485.97,482.82,487.52,481.8,37.55,0.44
2013-05-14 00:00:00.000,483.85,486.94,487.45,480.79,46.53,-1.04
2013-05-13 00:00:00.000,488.93,486.96,490.38,486.96,45.49,0.58
2013-05-10 00:00:00.000,486.1,488.1,490.76,484.75,85.57,-0.02
2013-05-09 00:00:00.000,486.22,485.44,488.57,485.2,101.3,0.24
2013-05-08 00:00:00.000,485.07,486.74,488.04,483.03,63.52,-0.11
2013-05-07 00:00:00.000,485.58,489.35,491.56,484.39,58.06,-0.56
2013-05-06 00:00:00.000,488.32,478.94,488.32,478.94,52.99,2.75
2013-05-03 00:00:00.000,475.24,471.14,475.24,470.81,26.29,0.47
2013-05-02 00:00:00.000,473.02,474.54,476.42,472.16,25.84,-0.31
2013-04-26 00:00:00.000,474.51,477.04,479.12,474.43,31.27,-0.44
2013-04-25 00:00:00.000,476.59,474.87,477.8,474.29,37.11,0.78
2013-04-24 00:00:00.000,472.89,474.48,475.75,472.89,32.85,-0.17
2013-04-23 00:00:00.000,473.69,470.59,475.48,469.13,34.01,1.12
2013-04-22 00:00:00.000,468.43,471.81,472.95,466.78,39.69,-1.01
2013-04-18 00:00:00.000,473.21,483.99,483.99,471.1,38.52,-2.23
2013-04-17 00:00:00.000,483.99,482.17,483.99,476.53,30.05,1.24
2013-04-16 00:00:00.000,478.07,475.07,479.97,466.56,58.21,-0.41
2013-04-15 00:00:00.000,480.02,491.65,491.77,478.8,54.83,-2.88
2013-04-12 00:00:00.000,494.27,505.37,505.9,490.82,52.31,-1.94
2013-04-11 00:00:00.000,504.07,501.39,504.51,497.08,52.04,1.52
2013-04-10 00:00:00.000,496.5,512.15,518.46,496.5,69.18,-2.74
2013-04-09 00:00:00.000,510.49,505.09,512.85,504.16,60.76,0.76
2013-04-08 00:00:00.000,506.66,505.0,507.75,501.91,52.18,0.81
2013-04-05 00:00:00.000,502.58,501.16,503.36,497.83,48.75,1.05
2013-04-04 00:00:00.000,497.35,505.54,506.63,497.35,52.18,-1.7
2013-04-03 00:00:00.000,505.93,509.29,511.59,502.38,57.12,-0.69
2013-04-02 00:00:00.000,509.43,507.31,514.1,507.22,70.26,0.72
2013-04-01 00:00:00.000,505.81,490.66,505.81,489.9,55.43,3.01
2013-03-29 00:00:00.000,491.04,487.01,492.96,483.5,38.99,0.08
2013-03-28 00:00:00.000,490.67,491.64,495.12,487.67,45.82,-0.12
2013-03-27 00:00:00.000,491.26,489.3,492.46,485.34,38.97,0.37
2013-03-26 00:00:00.000,489.46,494.19,496.32,489.14,47.04,-0.83
2013-03-25 00:00:00.000,493.57,491.76,495.64,488.55,38.34,0.73
2013-03-22 00:00:00.000,489.99,492.88,500.59,486.15,54.55,-0.37
2013-03-21 00:00:00.000,491.79,488.64,494.57,488.43,57.18,0.98
2013-03-20 00:00:00.000,487.04,481.88,488.94,480.53,52.32,1.37
2013-03-19 00:00:00.000,480.48,478.45,482.21,477.55,35.32,0.28
2013-03-18 00:00:00.000,479.13,481.53,482.59,478.54,49.14,-0.46
2013-03-15 00:00:00.000,481.35,474.99,481.35,474.45,74.4,1.42
2013-03-14 00:00:00.000,474.6,471.63,474.6,470.81,46.72,0.3
2013-03-13 00:00:00.000,473.18,476.43,478.05,471.85,50.26,-0.45
2013-03-12 00:00:00.000,475.34,475.23,478.67,470.51,60.26,-0.24
2013-03-11 00:00:00.000,476.5,471.29,476.79,469.78,56.61,1.24
2013-03-08 00:00:00.000,470.68,468.1,471.75,468.1,31.77,0.87
2013-03-07 00:00:00.000,466.63,470.73,472.54,466.63,46.95,-0.95
2013-03-06 00:00:00.000,471.09,466.96,471.09,464.19,35.56,1.94
2013-03-05 00:00:00.000,462.12,467.36,467.84,461.61,59.79,-1.41
2013-03-04 00:00:00.000,468.74,477.04,479.06,468.74,74.56,-1.76
2013-03-01 00:00:00.000,477.15,476.51,480.39,475.46,55.93,0.55
2013-02-28 00:00:00.000,474.56,465.72,476.41,465.72,53.25,1.9
2013-02-27 00:00:00.000,465.72,465.89,467.5,459.64,71.44,0.14
2013-02-26 00:00:00.000,465.05,482.5,482.5,463.64,93.97,-3.85
2013-02-25 00:00:00.000,483.69,481.67,483.97,478.3,49.62,1.26
2013-02-22 00:00:00.000,477.69,482.03,487.11,470.23,107.35,0.2
2013-02-21 00:00:00.000,476.73,494.83,497.7,476.73,123.31,-3.66
2013-02-20 00:00:00.000,494.83,487.99,495.82,487.68,78.55,0.83
2013-02-19 00:00:00.000,490.78,493.4,495.39,490.33,104.49,-0.64
2013-02-18 00:00:00.000,493.95,497.87,497.87,493.95,69.42,-0.02
2013-02-08 00:00:00.000,494.03,491.85,495.72,489.64,60.72,0.7
2013-02-07 00:00:00.000,490.62,490.88,493.72,488.03,73.01,0.46
2013-02-06 00:00:00.000,488.36,479.62,488.62,479.62,65.15,2.3
2013-02-05 00:00:00.000,477.36,481.82,482.56,477.36,63.41,-1.04
2013-02-04 00:00:00.000,482.38,487.06,488.96,482.38,56.88,-0.22
2013-02-01 00:00:00.000,483.42,477.11,483.42,473.23,76.85,0.76
2013-01-31 00:00:00.000,479.79,484.04,485.19,479.79,80.5,-1.6
2013-01-30 00:00:00.000,487.6,486.67,490.89,482.76,83.26,0.74
2013-01-29 00:00:00.000,484.01,478.02,484.34,476.33,88.11,0.92
2013-01-28 00:00:00.000,479.6,474.27,485.67,474.27,107.36,2.46
2013-01-25 00:00:00.000,468.09,455.28,468.09,455.25,86.46,3.47
2013-01-24 00:00:00.000,452.4,444.34,452.4,444.19,49.81,2.04
2013-01-23 00:00:00.000,443.37,443.96,447.79,440.48,50.66,0.12
2013-01-22 00:00:00.000,442.85,449.01,450.8,441.24,67.33,-1.1
2013-01-21 00:00:00.000,447.79,453.91,456.34,447.79,58.68,-1.4
2013-01-18 00:00:00.000,454.16,458.21,459.82,450.28,84.21,-0.57
2013-01-17 00:00:00.000,456.76,465.66,466.55,456.76,96.33,-1.82
2013-01-16 00:00:00.000,465.25,462.17,470.34,462.17,96.57,0.83
2013-01-15 00:00:00.000,461.42,459.24,461.42,455.93,88.78,0.53
2013-01-14 00:00:00.000,458.97,458.08,462.08,455.51,69.55,-0.8
2013-01-11 00:00:00.000,462.69,468.39,469.16,461.74,75.12,0.56
2013-01-10 00:00:00.000,460.12,447.99,460.12,444.08,79.4,2.53
2013-01-09 00:00:00.000,448.77,447.16,457.75,442.26,134.77,0.36
2013-01-08 00:00:00.000,447.16,437.25,447.16,437.15,121.1,2.99
2013-01-07 00:00:00.000,434.19,428.53,434.64,426.86,78.32,1.91
2013-01-04 00:00:00.000,426.06,418.75,426.48,417.5,64.85,1.62
2013-01-03 00:00:00.000,419.27,420.68,420.68,413.68,99.83,0.22
2013-01-02 00:00:00.000,418.35,415.5,419.05,414.41,64.29,1.12
2012-12-28 00:00:00.000,413.73,409.49,413.73,408.32,84.32,0.92
2012-12-27 00:00:00.000,409.97,408.32,410.68,406.58,79.45,0.95
2012-12-26 00:00:00.000,406.1,399.43,406.1,398.31,59.62,1.19
2012-12-25 00:00:00.000,401.34,401.01,401.72,398.09,50.85,0.41
2012-12-24 00:00:00.000,399.71,397.25,400.22,396.57,73.07,0.74
2012-12-21 00:00:00.000,396.78,397.49,400.27,394.27,76.82,-0.73
2012-12-20 00:00:00.000,399.68,399.13,400.71,397.86,82.89,0.27
2012-12-19 00:00:00.000,398.59,395.84,398.59,395.34,72.58,1.32
2012-12-18 00:00:00.000,393.39,396.21,396.45,392.34,52.37,-0.06
2012-12-17 00:00:00.000,393.63,391.37,395.3,391.31,67.4,0.36
2012-12-14 00:00:00.000,392.21,392.23,394.61,392.05,43.16,0.26
2012-12-13 00:00:00.000,391.19,393.04,393.81,390.57,44.11,0.03
2012-12-12 00:00:00.000,391.08,388.41,393.13,386.46,47.17,0.44
2012-12-11 00:00:00.000,389.37,386.25,389.37,385.81,40.4,0.69
2012-12-10 00:00:00.000,386.69,384.84,387.67,383.53,44.5,0.75
2012-12-07 00:00:00.000,383.8,386.44,386.6,383.8,33.52,-0.49
2012-12-06 00:00:00.000,385.69,385.59,386.62,384.53,36.3,0.0
2012-12-05 00:00:00.000,385.69,382.1,387.05,382.1,40.54,0.94
2012-12-04 00:00:00.000,382.1,379.02,382.1,377.89,29.9,0.75
2012-12-03 00:00:00.000,379.27,377.94,379.27,375.78,21.9,0.38
2012-11-30 00:00:00.000,377.82,380.01,380.18,377.52,45.54,-0.1
2012-11-29 00:00:00.000,378.2,377.45,378.62,376.93,15.95,0.64
2012-11-28 00:00:00.000,375.79,376.13,377.32,374.15,29.71,-0.29
2012-11-27 00:00:00.000,376.89,377.77,378.62,376.08,18.73,-0.27
2012-11-26 00:00:00.000,377.9,382.43,382.62,377.82,22.36,-1.0
